Shareholder,Number of Shares,Percentage
Mr S E Captain,150769641.0,11.42
Citigroup Global Markets Limited Agency Trading Prop Securities A/C,141854717.0,10.75
Melstacorp PLC,128917111.0,9.77
Paints and General Industries Limited,114977303.0,8.71
Schroder International Selection Fund,42475806.0,3.22
HWIC Asia Fund,39250982.0,2.97
Mr R S Captain,35544282.0,2.69
Norges Bank Account 2,31706807.0,2.4
Aberdeen Standard Asia Focus PLC,23873572.0,1.81
Mr Kandiah Balendra,19511476.0,1.48
Employees Trust Fund Board,18709833.0,1.42
Fidelity Fund - Pacific,17880904.0,1.35
Mrs C S De Fonseka,16952586.0,1.28
Mrs S A J De Fonseka,15204230.0,1.15
Edgbaston Asian Equity Trust,14809382.0,1.12
Chemanex PLC,11417835.0,0.87
LF Ruffer Investment Funds: LF Ruffer Pacific and Emerging Markets Fund,11297899.0,0.86
Mr K N J Balendra,10907628.0,0.83
Schroder Asian Growth Fund,10328047.0,0.78
Employee's Provident Fund,10159322.0,0.77
